Ahafo|3819.3951|0.73521|7
Ashanti|22839.8736|0.936852|3
Bono East|7579.365|0.325905|15
Bono|8223.7117|0.706087|8
Central|11169.4347|1.155834|2
Eastern|14205.2336|0.748991|6
Greater Accra|21237.2205|5.740836|1
Northern East|3208.7135|0.353591|14
Northern|14735.5656|0.592997|10
Oti|5076.0544|0.458709|11
Savannah|9849.1103|0.274631|16
Upper East|7284.8558|0.844889|4
Upper West|7791.6756|0.409367|13
Volta|8095.5113|0.823963|5
Western North|4580.6002|0.454658|12
Western|9558.2477|0.670362|9
